Nest ID,year,site,Fate,FirstFoundCD,LastPresentCD,LastCheckedCD,AgeFound,tmt,elev,FirstFound,LastPresent,LastChecked,AgeDay1,cause
2,2017,KKI,0,40,69,69,5,impact,low,1,30,30,5,fledge
3,2017,KKI,0,47,82,82,1,impact,low,8,43,43,-6,fledge
11,2017,LKE,0,59,93,93,1,impact,high,20,54,54,-18,fledge
15,2017,LKE,0,66,99,99,2,impact,high,27,60,60,-24,fledge
16,2017,LKE,0,69,100,100,4,impact,high,30,61,61,-25,fledge
17,2017,LKE,0,73,105,105,3,impact,high,34,66,66,-30,fledge
20,2017,LKE,0,76,107,107,4,impact,high,37,68,68,-32,fledge
21,2017,LKE,0,93,125,125,3,impact,high,54,86,86,-50,fledge
28,2017,KKI,0,61,96,96,1,impact,low,22,57,57,-20,fledge
29,2017,KKI,0,68,100,100,3,impact,low,29,61,61,-25,fledge
30,2017,KKI,0,72,106,106,1,impact,low,33,67,67,-31,fledge
31,2017,PUA,0,83,117,117,1,control,low,44,78,78,-42,fledge
38,2017,KKI,0,67,99,99,3,impact,low,28,60,60,-24,fledge
39,2017,KKI,0,76,106,106,5,impact,low,37,67,67,-31,fledge
46,2017,LKE,0,88,105,105,18,impact,high,49,66,66,-30,fledge
55,2017,UKE,0,96,98,98,33,control,high,57,59,59,-23,fledge
56,2017,LKE,0,96,98,98,33,impact,high,57,59,59,-23,fledge
57,2017,PUA,0,100,130,130,5,control,low,61,91,91,-55,fledge
62,2017,KKI,0,114,148,148,1,impact,low,75,109,109,-73,fledge
71,2017,LKE,0,109,143,143,1,impact,high,70,104,104,-68,fledge
73,2017,KKI,0,114,147,147,2,impact,low,75,108,108,-72,fledge
78,2017,LKE,0,117,151,151,1,impact,high,78,112,112,-76,fledge
80,2017,PUA,0,122,156,156,1,control,low,83,117,117,-81,fledge
83,2017,UKE,0,135,166,166,4,control,high,96,127,127,-91,fledge
88,2017,LKE,0,127,157,157,5,impact,high,88,118,118,-82,fledge
89,2017,LKE,0,127,129,129,33,impact,high,88,90,90,-54,fledge
90,2017,UKE,0,146,181,181,0,control,high,107,142,142,-106,fledge
91,2017,UKE,0,153,186,186,2,control,high,114,147,147,-111,fledge
92,2017,UKE,0,156,190,190,1,control,high,117,151,151,-115,fledge
93,2017,KKI,0,151,185,185,1,impact,low,112,146,146,-110,fledge
95,2017,UKE,0,152,167,167,20,control,high,113,128,128,-92,fledge
100,2017,KKI,0,158,171,171,19,impact,low,119,132,132,-99,fledge
101,2017,LKE,0,163,174,174,24,impact,high,124,135,135,-99,fledge
103,2015,KKI,0,90,118,118,7,control,low,51,79,79,-43,fledge
107,2015,KKI,0,97,128,128,4,control,low,58,89,89,-53,fledge
108,2015,KKI,0,119,127,127,27,control,low,80,88,88,-52,fledge
110,2015,KKI,0,113,134,134,14,control,low,74,95,95,-59,fledge
111,2015,KKI,0,131,134,134,32,control,low,92,95,95,-59,fledge
114,2015,KKI,0,125,131,131,29,control,low,86,92,92,-56,fledge
117,2015,KKI,0,152,182,182,5,control,low,113,143,143,-107,fledge
