# Hubbard Brook Experimental Forest, NH, daily precipitation for watersheds 5 and 6. Date
# is in format YYMMDD.  Precipitation is in mm.  

DATE	WS_5	WS_6
830501	4.8	4.4
830502	20.9	19.9
830503	7.5	7.7
830504	2.7	3.3
830505	1.7	4.4
830506	0	0
830507	0	0
830508	14.6	14.2
830509	14.7	13.4
830510	4	4.9
830511	1.8	1.2
830512	0	0
830513	0	0
830514	0.1	0
830515	9.8	10.1
830516	0.8	0.9
830517	0	0
830518	0	0
830519	3.1	3
830520	16.8	16.5
830521	0.3	0.3
830522	0.9	0.5
830523	19.4	19.8
830524	3.1	3.3
830525	0.1	0.3
830526	5.2	5.1
830527	16.8	18.2
830528	0.6	1.1
830529	16.7	15.8
830530	21.6	21.9
830531	8.7	9.1
830601	1	0.8
830602	0.4	0
830603	0	0
830604	15.9	16.9
830605	0	0
830606	1.8	1.4
830607	1.2	1.1
830608	0	0
830609	0	0
830610	0	0
830611	0	0
830612	0	0
830613	0	0
830614	0.8	0.6
830615	1.5	1.2
830616	0	0
830617	0	0
830618	1.5	1.5
830619	0.5	0.9
830620	0	0
830621	0	0
830622	0	0
830623	0	0
830624	0	0
830625	8.1	7.8
830626	0	0
830627	1.8	2
830628	0	0
830629	0	0
830630	0	0
840501	0	0
840502	0	0
840503	0.2	0
840504	30.4	31.1
840505	1	1.1
840506	0.2	0.6
840507	0.1	0
840508	23.2	23.3
840509	2.4	3.1
840510	0	0
840511	6.7	6
840512	36.3	36.7
840513	2.2	3.1
840514	14.7	14.4
840515	0.1	0.3
840516	0.2	0.6
840517	0	0
840518	0	0
840519	10.3	10.1
840520	0.3	0
840521	0.2	0.6
840522	0	0
840523	18	16.7
840524	0	0
840525	0	0
840526	5.4	4.3
840527	0	0
840528	9.1	8.6
840529	74.2	85.9
840530	54.9	50
840531	18.5	17.1
840601	0.9	0.7
840602	9.3	9
840603	0	0
840604	0	0
840605	0	0
840606	14.9	17.8
840607	19.1	16.1
840608	0	0
840609	0	0
840610	0	0
840611	0	0
840612	0	0
840613	0	0
840614	19.5	19.9
840615	0	0
840616	0	0
840617	0	0
840618	7.2	7
840619	1.9	1.7
840620	0	0
840621	0	0
840622	0	0
840623	0	0
840624	14.6	16.4
840625	72.8	70.7
840626	1.1	1
840627	0	0
840628	0	0
840629	21.2	18.8
840630	0	0
850501	0	0
850502	0	0
850503	0	0
850504	0.8	0.5
850505	16.1	16.7
850506	16.3	15.1
850507	5.7	6.6
850508	0.5	0.3
850509	0	0
850510	0	0
850511	0	0
850512	4.7	5.2
850513	1	1.4
850514	0	0
850515	0	0
850516	0.5	0.8
850517	7.1	7.6
850518	29.7	28.6
850519	0.1	0.3
850520	0.4	0.3
850521	1	0.9
850522	0	0
850523	0	0
850524	0	0
850525	0	0
850526	4.8	4.8
850527	12.9	13.1
850528	0.1	0
850529	0	0
850530	0	0
850531	4.6	4.1
850601	0.6	0.7
850602	0	0
850603	0	0
850604	0	0
850605	3.8	3.3
850606	14.1	15.1
850607	0	0
850608	0.6	0.6
850609	1.7	1.1
850610	0.6	0.8
850611	0.2	0
850612	11.3	10.8
850613	7.5	7.2
850614	3.3	3.9
850615	0	0
850616	3.5	3
850617	0.8	1.7
850618	6.3	6.9
850619	0.6	0.8
850620	1.4	0
850621	1.3	1.9
850622	0.3	0
850623	3.1	2.7
850624	24.3	25
850625	2	1.9
850626	0.7	1.1
850627	2.2	1.9
850628	31.4	32
850629	5.3	6.1
850630	0.4	0.5
860501	2.5	2.3
860502	0	0
860503	0	0
860504	0	0
860505	4.4	4.9
860506	0.6	0.3
860507	5.5	5.7
860508	5.9	6
860509	0.1	0
860510	0	0
860511	0	0
860512	0	0
860513	0	0
860514	0	0
860515	0	0
860516	3.4	2.7
860517	0.7	1.2
860518	0.1	0.3
860519	0	0
860520	15.1	14.9
860521	37.7	36.7
860522	1.1	1
860523	33.6	36.7
860524	15.9	15.7
860525	1	1
860526	0.2	0.3
860527	0	0
860528	0	0
860529	2.7	2.9
860530	0.2	0.3
860531	0	0
860601	11.9	11.4
860602	2.1	2.6
860603	0	0
860604	0	0
860605	1.5	0.9
860606	0.2	0.6
860607	3	3.2
860608	2.8	2.9
860609	0	0
860610	0	0
860611	10.3	11.2
860612	16.7	16.1
860613	5.3	5.7
860614	0.3	0
860615	0	0
860616	16.3	15.2
860617	2.6	2.8
860618	0	0
860619	0.6	1.1
860620	2.6	2.5
860621	0	0
860622	0	0
860623	2.5	3
860624	5.6	5.5
860625	0	0
860626	0	0
860627	1.4	1.4
860628	0	0
860629	2.4	2.6
860630	0	0
870501	0.5	0.5
870502	0	0
870503	0	0
870504	0	0
870505	13.3	14.5
870506	6.7	5.7
870507	0.5	0
870508	0	0
870509	0	0
870510	0	0
870511	0	0
870512	1.7	1.5
870513	0	0
870514	0	0
870515	4.5	4.6
870516	0	0
870517	0	0
870518	0	0
870519	0	0
870520	0	0
870521	0	0
870522	2.6	2.7
870523	8.4	7.6
870524	7.1	7.3
870525	0.3	0.3
870526	0	0
870527	0.2	0.3
870528	9.8	13.7
870529	19.1	16.8
870530	0.6	1.1
870531	14.5	14.8
870601	4.3	4.4
870602	8.9	11
870603	0.9	1.4
870604	24.4	25.5
870605	0.5	0.3
870606	0	0
870607	0	0
870608	22.1	24.1
870609	0.8	1.1
870610	0	0
870611	0	0
870612	7.4	7.7
870613	2.9	1.6
870614	0	0
870615	0	0
870616	6.4	6.6
870617	0	0
870618	0	0
870619	0	0
870620	0	0
870621	0	0
870622	25.5	27
870623	28	26.2
870624	0	0
870625	0.2	0
870626	0.5	0.3
870627	62.3	63.6
870628	2.3	2.3
870629	0.2	0.5
870630	0	0
880501	1.7	2.9
880502	1.7	1.2
880503	0	0
880504	0	0
880505	0	0
880506	11.6	14.7
880507	0	0
880508	0	0
880509	0	0
880510	3.1	3.1
880511	8.9	9.2
880512	0	0
880513	8.3	8
880514	0	0
880515	0	0
880516	2	2.1
880517	3.3	2.8
880518	11.4	11.1
880519	2.7	3.7
880520	1.1	1.2
880521	0.5	0.6
880522	0.3	0
