# Hubbard Brook Experimental Forest, NH, average daily temperature (deg C) at station 1
# and 6 during the study period.

Year	Year	Month	Day	STA_1	STA_6
83	1983	5	1	15	12
83	1983	5	2	13	11
83	1983	5	3	16	14
83	1983	5	4	9	9
83	1983	5	5	9	7
83	1983	5	6	8	8
83	1983	5	7	13	12
83	1983	5	8	14	11
83	1983	5	9	5	3
83	1983	5	10	3	1
83	1983	5	11	5	3
83	1983	5	12	6	4
83	1983	5	13	9	7
83	1983	5	14	14	11
83	1983	5	15	10	9
83	1983	5	16	4	3
83	1983	5	17	5	3
83	1983	5	18	7	5
83	1983	5	19	11	9
83	1983	5	20	9	7
83	1983	5	21	15	13
83	1983	5	22	16	13
83	1983	5	23	12	9
83	1983	5	24	9	7
83	1983	5	25	12	11
83	1983	5	26	9	7
83	1983	5	27	6	4
83	1983	5	28	8	6
83	1983	5	29	10	9
83	1983	5	30	11	9
83	1983	5	31	11	10
84	1984	5	1	7	4
84	1984	5	2	1	-1
84	1984	5	3	5	3
84	1984	5	4	5	2
84	1984	5	5	2	1
84	1984	5	6	8	7
84	1984	5	7	13	12
84	1984	5	8	9	7
84	1984	5	9	7	6
84	1984	5	10	7	7
84	1984	5	11	11	10
84	1984	5	12	9	8
84	1984	5	13	11	9
84	1984	5	14	4	3
84	1984	5	15	5	4
84	1984	5	16	3	3
84	1984	5	17	6	6
84	1984	5	18	9	8
84	1984	5	19	9	9
84	1984	5	20	15	13
84	1984	5	21	15	15
84	1984	5	22	17	16
84	1984	5	23	21	19
84	1984	5	24	12	12
84	1984	5	25	17	17
84	1984	5	26	19	19
84	1984	5	27	13	12
84	1984	5	28	8	9
84	1984	5	29	9	7
84	1984	5	30	11	10
84	1984	5	31	9	8
85	1985	5	1	9	7
85	1985	5	2	8	6
85	1985	5	3	3	2
85	1985	5	4	4	4
85	1985	5	5	4	3
85	1985	5	6	4	3
85	1985	5	7	9	8
85	1985	5	8	4	1
85	1985	5	9	7	5
85	1985	5	10	16	16
85	1985	5	11	21	19
85	1985	5	12	11	9
85	1985	5	13	18	17
85	1985	5	14	12	10
85	1985	5	15	13	10
85	1985	5	16	11	9
85	1985	5	17	14	12
85	1985	5	18	8	7
85	1985	5	19	6	5
85	1985	5	20	16	14
85	1985	5	21	15	14
85	1985	5	22	14	12
85	1985	5	23	14	12
85	1985	5	24	16	13
85	1985	5	25	17	16
85	1985	5	26	13	11
85	1985	5	27	12	11
85	1985	5	28	12	11
85	1985	5	29	13	11
85	1985	5	30	14	12
85	1985	5	31	16	13
86	1986	5	1	13	12
86	1986	5	2	3	1
86	1986	5	3	0	-2
86	1986	5	4	1	0
86	1986	5	5	7	6
86	1986	5	6	8	7
86	1986	5	7	6	5
86	1986	5	8	5	4
86	1986	5	9	9	7
86	1986	5	10	12	11
86	1986	5	11	10	9
86	1986	5	12	7	8
86	1986	5	13	13	14
86	1986	5	14	14	14
86	1986	5	15	12	13
86	1986	5	16	12	13
86	1986	5	17	16	16
86	1986	5	18	21	21
86	1986	5	19	23	23
86	1986	5	20	18	17
86	1986	5	21	16	15
86	1986	5	22	17	16
86	1986	5	23	17	15
86	1986	5	24	12	10
86	1986	5	25	15	14
86	1986	5	26	16	14
86	1986	5	27	17	17
86	1986	5	28	17	17
86	1986	5	29	17	17
86	1986	5	30	18	18
86	1986	5	31	15	15
87	1987	5	1	5	3
87	1987	5	2	7	7
87	1987	5	3	7	6
87	1987	5	4	7	6
87	1987	5	5	5	4
87	1987	5	6	11	8
87	1987	5	7	9	7
87	1987	5	8	8	7
87	1987	5	9	10	9
87	1987	5	10	16	14
87	1987	5	11	12	11
87	1987	5	12	10	9
87	1987	5	13	10	9
87	1987	5	14	12	11
87	1987	5	15	7	5
87	1987	5	16	7	6
87	1987	5	17	12	12
87	1987	5	18	10	9
87	1987	5	19	11	9
87	1987	5	20	10	8
87	1987	5	21	10	9
87	1987	5	22	17	17
87	1987	5	23	12	11
87	1987	5	24	7	6
87	1987	5	25	10	9
87	1987	5	26	16	13
87	1987	5	27	14	11
87	1987	5	28	19	18
87	1987	5	29	21	20
87	1987	5	30	23	22
87	1987	5	31	23	23
88	1988	5	1	5	3
88	1988	5	2	6	4
88	1988	5	3	7	6
88	1988	5	4	10	10
88	1988	5	5	15	15
88	1988	5	6	15	14
88	1988	5	7	12	11
88	1988	5	8	11	9
88	1988	5	9	12	10
88	1988	5	10	7	4
88	1988	5	11	9	6
88	1988	5	12	11	9
88	1988	5	13	16	14
88	1988	5	14	11	9
88	1988	5	15	13	11
88	1988	5	16	14	12
88	1988	5	17	17	15
88	1988	5	18	14	12
88	1988	5	19	13	11
88	1988	5	20	16	13
88	1988	5	21	15	12
88	1988	5	22	17	15
88	1988	5	23	19	17
88	1988	5	24	16	13
88	1988	5	25	8	5
88	1988	5	26	9	6
88	1988	5	27	15	15
88	1988	5	28	21	20
88	1988	5	29	19	17
88	1988	5	30	12	11
88	1988	5	31	16	14
89	1989	5	1	13	11
89	1989	5	2	8	5
89	1989	5	3	5	2
89	1989	5	4	8	7
89	1989	5	5	10	8
89	1989	5	6	12	10
89	1989	5	7	11	9
89	1989	5	8	4	3
89	1989	5	9	5	4
89	1989	5	10	9	7
89	1989	5	11	7	6
89	1989	5	12	11	9
89	1989	5	13	11	9
89	1989	5	14	14	12
89	1989	5	15	13	12
89	1989	5	16	15	14
89	1989	5	17	17	16
89	1989	5	18	20	19
89	1989	5	19	20	20
89	1989	5	20	21	20
89	1989	5	21	16	17
89	1989	5	22	13	12
89	1989	5	23	15	15
89	1989	5	24	12	11
89	1989	5	25	17	16
89	1989	5	26	17	16
89	1989	5	27	12	12
89	1989	5	28	9	8
89	1989	5	29	13	13
89	1989	5	30	13	14
89	1989	5	31	14	15
90	1990	5	1	14	11
90	1990	5	2	8	5
90	1990	5	3	8	6
90	1990	5	4	10	7
90	1990	5	5	4	1
90	1990	5	6	7	4
90	1990	5	7	6	4
90	1990	5	8	7	5
90	1990	5	9	14	12
90	1990	5	10	14	10
90	1990	5	11	8	4
90	1990	5	12	9	7
90	1990	5	13	8	4
90	1990	5	14	14	11
90	1990	5	15	15	14
90	1990	5	16	15	13
90	1990	5	17	7	6
90	1990	5	18	7	6
90	1990	5	19	7	6
90	1990	5	20	8	6
90	1990	5	21	4	3
90	1990	5	22	6	4
90	1990	5	23	7	6
90	1990	5	24	10	9
90	1990	5	25	12	11
90	1990	5	26	16	15
90	1990	5	27	16	16
90	1990	5	28	18	18
90	1990	5	29	14	12
90	1990	5	30	10	8
90	1990	5	31	11	9
91	1991	5	1	10	9
91	1991	5	2	8	6
91	1991	5	3	5	2
91	1991	5	4	4	2
91	1991	5	5	10	8
91	1991	5	6	7	5
91	1991	5	7	9	6
91	1991	5	8	9	6
91	1991	5	9	8	6
91	1991	5	10	12	10
91	1991	5	11	15	13
91	1991	5	12	20	17
91	1991	5	13	17	15
91	1991	5	14	15	14
91	1991	5	15	15	14
91	1991	5	16	20	19
91	1991	5	17	15	13
91	1991	5	18	8	6
91	1991	5	19	9	7
91	1991	5	20	14	12
91	1991	5	21	17	16
91	1991	5	22	18	16
91	1991	5	23	14	12
91	1991	5	24	19	19
91	1991	5	25	18	16
91	1991	5	26	15	12
91	1991	5	27	14	12
91	1991	5	28	18	17
91	1991	5	29	18	17
91	1991	5	30	16	14
91	1991	5	31	14	13
92	1992	5	1	10	8
92	1992	5	2	10	8
92	1992	5	3	9	7
92	1992	5	4	7	4
92	1992	5	5	2	1
92	1992	5	6	4	3
92	1992	5	7	7	6
92	1992	5	8	8	8
92	1992	5	9	14	13
92	1992	5	10	17	15
92	1992	5	11	13	11
92	1992	5	12	14	13
92	1992	5	13	17	14
92	1992	5	14	11	9
92	1992	5	15	12	10
92	1992	5	16	13	10
92	1992	5	17	14	11
92	1992	5	18	14	11
92	1992	5	19	13	12
92	1992	5	20	18	17
92	1992	5	21	22	21
92	1992	5	22	26	23
92	1992	5	23	23	22
92	1992	5	24	10	8
92	1992	5	25	8	9
92	1992	5	26	8	7
92	1992	5	27	9	7
92	1992	5	28	11	9
92	1992	5	29	14	12
92	1992	5	30	16	15
92	1992	5	31	11	8
93	1993	5	1	14	15
93	1993	5	2	14	14
93	1993	5	3	11	9
93	1993	5	4	13	11
93	1993	5	5	17	15
93	1993	5	6	16	12
93	1993	5	7	11	9
93	1993	5	8	14	12
93	1993	5	9	19	17
93	1993	5	10	9	9
93	1993	5	11	17	16
93	1993	5	12	15	12
93	1993	5	13	6	4
93	1993	5	14	9	6
93	1993	5	15	11	11
93	1993	5	16	10	8
93	1993	5	17	8	7
93	1993	5	18	8	8
93	1993	5	19	8	7
93	1993	5	20	10	8
93	1993	5	21	10	9
93	1993	5	22	9	9
93	1993	5	23	10	9
93	1993	5	24	9	10
93	1993	5	25	15	15
93	1993	5	26	10	10
93	1993	5	27	8	7
93	1993	5	28	6	7
93	1993	5	29	8	7
93	1993	5	30	10	9
93	1993	5	31	9	9
94	1994	5	1	6	5
94	1994	5	2	4	4
94	1994	5	3	7	7
94	1994	5	4	11	11
94	1994	5	5	6	5
94	1994	5	6	9	7
94	1994	5	7	11	10
94	1994	5	8	9	8
94	1994	5	9	13	13
94	1994	5	10	10	9
94	1994	5	11	10	9
94	1994	5	12	7	6
94	1994	5	13	3	1
94	1994	5	14	8	7
94	1994	5	15	14	14
94	1994	5	16	8	7
94	1994	5	17	9	8
94	1994	5	18	9	9
94	1994	5	19	11	10
94	1994	5	20	12	11
94	1994	5	21	15	15
94	1994	5	22	21	21
