"nest","spnum","year","int","t","fate","nage","sday","treeht","sageht","grassht"
1,"VESP","2006",2,2,1,14,153,0,64,24
1,"VESP","2006",3,3,1,17,156,0,64,24
1,"VESP","2006",4,3,1,20,159,0,64,24
1,"VESP","2006",5,4,1,24,163,0,64,24
1,"VESP","2006",6,3,1,27,166,0,64,24
12,"VESP","2006",2,3,1,15,171,44,41,17.9
12,"VESP","2006",3,2,1,17,173,44,41,17.9
12,"VESP","2006",4,4,1,21,177,44,41,17.9
12,"VESP","2006",5,4,1,25,181,44,41,17.9
16,"VESP","2006",2,2,1,19,187,72.8,22.3,26.7
16,"VESP","2006",3,5,1,24,192,72.8,22.3,26.7
18,"VESP","2006",2,2,1,16,200,64.3,44.7,15.9
18,"VESP","2006",3,4,1,20,204,64.3,44.7,15.9
18,"VESP","2006",4,2,1,22,206,64.3,44.7,15.9
18,"VESP","2006",5,2,1,24,208,64.3,44.7,15.9
18,"VESP","2006",6,3,1,27,211,64.3,44.7,15.9
19,"VESP","2006",2,3,1,21,158,0,25,13.1
19,"VESP","2006",3,5,1,26,163,0,25,13.1
19,"VESP","2006",4,4,1,30,167,0,25,13.1
13,"VESP","2006",2,2,1,5,145,51.5,36,17.6
13,"VESP","2006",3,5,1,10,150,51.5,36,17.6
13,"VESP","2006",4,3,0,13,153,51.5,36,17.6
14,"VESP","2006",2,2,1,18,158,37,80.3,11.7
14,"VESP","2006",3,5,0,23,163,37,80.3,11.7
15,"VESP","2006",2,2,1,22,185,56.5,22.2,19.3
15,"VESP","2006",3,2,1,24,187,56.5,22.2,19.3
15,"VESP","2006",4,3,1,27,190,56.5,22.2,19.3
17,"VESP","2006",2,4,1,10,190,21,23.3,19.7
17,"VESP","2006",3,4,1,14,194,21,23.3,19.7
17,"VESP","2006",4,3,1,17,197,21,23.3,19.7
17,"VESP","2006",5,2,1,19,199,21,23.3,19.7
17,"VESP","2006",6,5,0,24,204,21,23.3,19.7
